titulo,modalidade,numero,ano,situacao,link_pdf
"EDITAL 56/2023: Edital referente ao processo de eleição de membros que comporão as vagas da SUBCOMISSÃO INTERNA DE SUPERVISÃO DO PLANO DE CARREIRA DOS CARGOS TÉCNICO-ADMINISTRATIVOS EM EDUCAÇÃO – SCIS-PCCTAE do Instituto Federal de Educação, Ciência e Tecnologia do Sudeste de Minas Gerais do Câmpus Barbacena.",Eleição,56,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/eleicao/edital-56-2023-edital-referente-ao-processo-de-eleicao-de-membros-que-comporao-as-vagas-da-subcomissao-interna-de-supervisao-do-plano-de-carreira-dos-cargos-tecnico-administrativos-em-educacao-2013-scis-pcctae-do-instituto-federal-de-educacao-ciencia-e-1/edital-scis-pcctae-2023-processo.pdf/view
EDITAL Nº 55/2023: Edital  para a escolha do(a) COORDENADOR(A) e VICE-COORDENADOR(A) do curso da Educação Profissional Técnica de Nível Médio: Técnico em Agroindústria  integrado ao Ensino Médio e Técnico em Química integrado ao Ensino Médio.,Eleição,55,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/eleicao/edital-no-55-2023-edital-para-a-escolha-do-a-coordenador-a-e-vice-coordenador-a-do-curso-da-educacao-profissional-tecnica-de-nivel-medio-tecnico-em-agroindustria-integrado-ao-ensino-medio-e-tecnico-em-quimica-integrado-ao-ensino-medio/edital-eleicao-coordenadores-docx-1.pdf/view
Edital 54/2023:  Edital de chamada para submissão de resumos para a Semana Acadêmica do Curso de Licenciatura em Educação Física do IF Sudeste MG - Campus Barbacena,Ensino,54,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/ensino/edital-54-2023-edital-de-chamada-para-submissao-de-resumos-para-a-semana-academica-do-curso-de-licenciatura-em-educacao-fisica-do-if-sudeste-mg-campus-barbacena/edital-54.pdf/view
Edital Nº 53/2023: Edital de convocação eleitoral para escolha de representante dos servidores técnico-administrativos no Conselho Superior do IF Sudeste MG,Eleição,53,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/eleicao/edital-no-53-2023-edital-de-convocacao-eleitoral-para-escolha-de-representante-dos-servidores-tecnico-administrativos-no-conselho-superior-do-if-sudeste-mg/edital-processo-eleitoral-consu-campus-barbacena.pdf/view
Edital do Leilão Administrativo 01/2023,Chamada Pública,1,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/chamada-publica/edital-do-leilao-administrativo-01-2023/edital-do-leilao-01-2023-para-publicacao.pdf/view
EDITAL Nº 45/2023 - Programa de Estágio Remunerado - Não obrigatório a ser desenvolvido no IF Sudeste MG/ Campus Barbacena.,Concurso - Estágio Remunerado,45,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/estagio-remunerado/2023/edital-no-45-2023-programa-de-estagio-remunerado-nao-obrigatorio-a-ser-desenvolvido-no-if-sudeste-mg-campus-barbacena/edital-ndeg-45-processo-seletivo-programa-de-estagio-remunerado.pdf/view
2023/97: Edital de Seleção para Preenchimento de Vagas Remanescentes nos Cursos de Graduação  1º SEMESTRE DE 2024 - Campus Barbacena,Ensino,97,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/ensino/2023/edital-no-97-2023-edital-de-selecao-para-preenchimento-de-vagas-remanescentes-nos-cursos-de-graduacao-1o-semestre-de-2024/anexo-i-1-2024.docx/view
2023/52: 1° Festival de Música do IF Sudeste MG – IFestival 2023,Extensão,52,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/extensao/2023/edital-ndeg-52-1deg-festival-de-musica-do-if-sudeste-mg-2013-ifestival-2023/edital-inscricoes-ifestival.pdf/view
"Edital de Ensino n º 51/2023: Edital de regulamento para o 4º Concurso de fotografias e desenhos da Semana Nacional do Livro e da Biblioteca - Biblioteca Roberval Cardoso do Instituto Federal de Educação, Ciência e Tecnologia do Sudeste de Minas Gerais - Campus Barbacena",Ensino,51,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/ensino/edital-de-ensino-n-o-51-2023-edital-de-regulamento-para-o-4o-concurso-de-fotografias-e-desenhos-da-semana-nacional-do-livro-e-da-biblioteca-biblioteca-roberval-cardoso-do-instituto-federal-de-educacao-ciencia-e-tecnologia-do-sudeste-de-minas-gerais-campus/2023_regulamento-do-concurso-de-fotos-e-desenhos-da-semana-do-livro-e-da-biblioteca-2023-3-1.pdf/view
EDITAL Nº 48/2023: Edital para as eleições para docentes – titulares e suplentes – que comporão o Colegiado do Curso Superior de Bacharelado em Gestão de Ambiental do Campus Barbacena,Eleição,48,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/eleicao/edital-no-48-2023-edital-para-as-eleicoes-para-docentes-2013-titulares-e-suplentes-2013-que-comporao-o-colegiado-do-curso-superior-de-bacharelado-em-gestao-de-ambiental-do-campus-barbacena/edital-48-membros-docente-do-colegiado-bga.pdf/view
"Edital Nº47/2023:  Edital para eleição para discentes – titulares e suplentes – que comporão os Colegiados dos Cursos Superiores de Bacharelado em Agronomia, Bacharelado em Gestão Ambiental e Licenciatura em Ciências Biológicas, do Campus Barbacena",Eleição,47,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/eleicao/edital-no47-2023-edital-para-eleicao-para-discentes-2013-titulares-e-suplentes-2013-que-comporao-os-colegiados-dos-cursos-superiores-de-bacharelado-em-agronomia-bacharelado-em-gestao-ambiental-e-licenciatura-em-ciencias-biologicas-do-campus-barbacena/edital-47-colegiado-cursos-de-graduacao.pdf/view
"Edital 46: Processo de escolha de coordenadores e vice-coordenadores  dos cursos de graduação: Bacharelado em Nutrição, Licenciatura em Química e Tecnologia em Alimentos",Eleição,46,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/eleicao/edital-46-processo-de-escolha-de-coordenadores-e-vice-coordenadores-dos-cursos-de-graduacao-bacharelado-em-nutricao-licenciatura-em-quimica-e-tecnologia-em-alimentos/edital-46-eleicao-para-coordenadores-alim-quim-e-nut.pdf/view
OFERTA PÚBLICA Nº. 02 / 2023,Chamada Pública,2,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/chamada-publica/oferta-publica-no-02-2023/oferta_02_2023_assinado-todos.pdf/view
Seleção de Bolsista -  Projeto Elaboração de Material Didático Transmídia para o ensino de Imunologia (referente ao Edital de Apoio à produção de material em formato digital para atividades de Ensino Nº 29/2023),Ensino,29,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/ensino/2023/selecao-de-bolsista-projeto-elaboracao-de-material-didatico-transmidia-para-o-ensino-de-imunologia-referente-ao-edital-de-apoio-a-producao-de-material-em-formato-digital-para-atividades-de-ensino-no-29-2023/edital_de_selecao_de_bolsista_para_participacao_no_projeto_producao_de_material_digital_de_imunologia_assinado.pdf/view
Seleção de Alunos para atuação no âmbito do Projeto Seroepe (referente ao Edital 30/2023),"Pesquisa, Inovação e Pós-graduação",30,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/seroepe/selecao-de-alunos-para-atuacao-no-ambito-do-projeto-seroepe-referente-ao-edital-30-2023/edital_selecao-aluno-bolsista-docx.pdf/view
Edital 40/2023: Submissão de trabalhos científicos ao XII Simpósio de Pesquisa e Inovação,"Pesquisa, Inovação e Pós-graduação",40,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/pesquisa-e-inovacao/edital-40-2023-submissao-de-trabalhos-cientificos-ao-xii-simposio-de-pesquisa-e-inovacao/edital-versao-final-simposio-2023-docx.pdf/view
EDITAL Nº 39/2023: Edital de Processo de escolha dos Coordenadores e Vice-coordenadores do Curso de Graduação Bacharelado em Agronomia,Eleição,39,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/eleicao/edital-no-39-2023-edital-de-processo-de-escolha-dos-coordenadores-e-vice-coordenadores-do-curso-de-graduacao-bacharelado-em-agronomia/edital-39-eleicao-para-coordenadores-agro.pdf/view
